en	kr
However, the validation loss and perplexity were not improved significantly or became even worse for specific conditions.	하지만, 정량지표는 크게 개선되지 않거나 특정 조건에서는 오히려 악화되는 것으로 나타났다.
A study of using the magnifying lens to detect the detail 3D data	정밀한 3차원 데이터를 얻기 위한 확대경 사용에 관한 연구
This feature of Hangul is an advantage when processed in machine language.	한글의 이런 특징은 기계어로 처리할 때 장점이다.
Alternative Tracing Method for Moving Object Using Reference Template in Real-time Image-Focusing on Parking Management System	참조 템플릿 기반 실시간 이동체 영상을 이용한 대안적 탐지 방안
An Automatic Method of Generating a Large-Scale Train Set for Bi-LSTM based Sentiment Analysis	Bi-LSTM 기반 감성분석을 위한 대용량 학습데이터 자동 생성 방안
Time Series Prediction with Semi-Supervised Learning: West Texas Intermediate Oil Price Forecasting	Semi-Supervised Learning을 이용한 시계열 예측: 서부 텍사스 중질유 가격 예측
Real Time Object Tracking using Background Image in Video	동영상에서 배경영상을 이용한 실시간 객체 추적
Korean-English Machine Translation using Bidirectional LSTM and Attention	Bidirectional LSTM과 Attention을 이용한 한-영 기계번역
In this paper, we evaluate the impact of DCGAN(Deep Convolutional  Generative Adversarial Network) image data augmentation to improve the performance of CNN-based tomato disease classifiers in situations where unbalanced image data is provided.	이 논문에서는 불균형한 이미지 데이터가 제공되는 상황에서 CNN기반 토마토 질병 분류기의 성능을 향상시키기 위한 DCGAN(Deep Convolutional Generative Adversarial Network) 이미지 데이터 확장의 영향성을 평가한다.
Self-Occlusion Robust Sign Language Recognition using Skip LSTM	Skip LSTM을 이용한 Self-Occlusion에 강인한 수화 인식
In this paper, MNIST classification CNN with zero skipping is implemented.	본 논문에서는 zero-skipping을 적용한 MNIST 분류 CNN을 구현했다.
High-speed Integer Operations in the Fuzzy Consequent Part and the Defuzzification Stage for Intelligent Systems	2차원 칼라 얼굴 영상에서 반복적인 PCA 재구성을 이용한 자동적인 잡음 제거
A Prediction Model for Agricultural Products Price with LSTM Network	LSTM 네트워크를 활용한 농산물 가격 예측 모델
Estimation of PM<SUB>2.5</SUB> Concentrations over East Asia using AHI Aerosol Product and a Machine Learning Method	머신러닝을 이용한 AHI 에어로졸 광학 특성으로부터의 동아시아 PM<SUB>2.5</SUB> 추정
Recently, research on graph embedding using deep learning technology have been conducted.	최근, 딥러닝을 사용해 그래프를 임베딩하는 연구가 진행되고 있다.
Image Recognition based on Image Compression	영상 압축 기법에 의한 영상 인식
A Study on the Development of a Driver's Drowziness Prevention System	운전자 졸음 방지 시스템의 개발에 관한 연구
Detection and classification of pneumothorax and pneumonia using deep learning	딥러닝을 이용한 기흉 폐렴의 검출과 분류
Effective Image Retrieval for the M-Learning System	모바일 교육 시스템을 위한 효율적인 영상 검색 구축
A Study on the Design of Testable CAM using MTA Code	기상위성을 이용한 태양광발전 일사량 예측
Person Identification based on Clothing Feature	의상특징 기반의 동일인 식별
A Study on Automation of Big Data Quality Diagnosis Using Machine Learning	머신러닝을 이용한 빅데이터 품질진단 자동화에 관한 연구
Through experiments, the detection model proposed showed a detection rate of 94% when 35% of the total sensornodes were attack sensor nodes and improvement of up to 26% in power retention.	실험을 통해 제안된 탐지 모델은 전체 센서 노드의 35%가 공격 센서 노드일 때 94%의 탐지율과 최대 26%의 전력 유지율을 보였다.
Without learning effect, the identification test of the Korean characters by the designed experimental system was carried out, and the average rate of correct response was 90%.	한글 식별률실험은 설계한 실험시스템에 의해 학습효과없이 행했으며 측정된 평균식별률은 90%였다.
Reliability Evaluation of Small Rolling Process Temperature Prediction Using Machine Learning	머신러닝을 활용한 소형 압연 공정 온도 예측 신뢰성 평가
The prediction of F10.7, which is an indicator showing the solar activity, influencing seriously on atomic oxygen erosion of satellite surface coating materials is one of the key issues in the satellite design.	인공위성에 사용되는 재료가 우주에서 운용되는 동안 원자산소(atomic oxygen)에 의하여 발생하는 침식(erosion)에 중요한 영향을 미치는 태양활동의 지표 중 하나인 F10.7의 예측은 인공위성 최적 설계에 있어서 핵심 요소이다.
As a result, the long-short portfolio strategies based on predictions of one- and three-month models show statistically significant profitability, while the six-month model does not.	그 결과 1개월과 3개월 모형의 예측에 기반을 둔 매수-공매도 포트폴리오(Long-short Portfolio) 포트폴리오 전략은 통계적으로 유의한 수익성을 보이나, 6개월 모형은 그렇지 못함을 보고한다.
An Implementation of User Interface Using Vision-based Gesture Recognition	비전 기반 제스처 인식을 이용한 사용자 인터페이스 구현
Matching and Control Strategies in Computer Vision System	컴퓨터 시각시스템에 있어서 매칭 및 제어전략에 관한 연구
Fast Detection of Disease in Livestock based on Deep Learning	축사에서 딥러닝을 이용한 질병개체 파악방안
Keyword Analysis of KCI Journals on Business Administration using Web Crawling and Machine Learning	웹 크롤링과 기계학습 기법을 이용한 경영학 분야 KCI 저널의 주제어 분석
Sentence Generation from Knowledge Base Triples Using Attention Mechanism Encoder-decoder	주의집중 메커니즘을 통한 인코더-디코더 기반의 지식 베이스 트리플 활용 문장 생성
In this paper, we use CNN algorithm to predict the liver lesion by classifying the images according to the diseases shown in the liver ultrasound images.	본 논문에서는 CNN 알고리즘을 이용하여 간 초음파 영상에 나타난 질병에 따라 이미지를 분류하여 간 병변을 예측한다.
In recent years, multimodal machine translation models have emerged that use images related to input text as additional inputs, unlike conventional machine translations which use only textual data.	최근에는 텍스트 데이터만 사용하는 기존 기계 번역과 달리 입력 텍스트와 관련된 이미지 정보를 기계 번역 시스템의 추가 입력으로 사용하는 멀티모달 기계 번역 모델이 등장했다.
The model was learned, evaluated, and verified using four years of power data.	해당 모형은 4년간의 전력 데이터를 활용하여 학습, 평가, 검증하였다.
Establishing Legal System of Digital Forensics	디지털 포렌식 법률체계 구축 방안
Study on Word Sense Disambiguation Using Recurrent Neural Network for Korean	한국어를 위한 Recurrent Neural Network 기반 동형이의어 중의성 해소 연구
Real - Time Tracking of Moving Object	실시간 움직이는 물체 추적
Our experiment results verified that the GRU model had the accuracy of 92.2%, which is 2~4% higher than other models.	그 결과 GRU 모델이 다른 모델들보다 2~4%가량의 높은 92.2%의 정확도를 보임을 확인하였다.
An incomplete planning domain theory can cause an inconsistency problem in a noisy domain, allowing two opposite operators to be applied to a state.	불완전한 계획 영역 이론은 오류 영역(noisy domain)에서 하나의 상태에 상반된 연산자들이 적용되는 불일치성 문제를 야기할 수 있다.
Experiments on synthetic and real datasets consisting of groups of similar weighted graphs showed that the proposed technique provided more than 94% accuracy in finding similar weighted graphs.	여러 유사 가중 그래프 그룹들로 구성된 합성 데이터와 실제 데이터를 이용한 실험을 통해 제안 기법이 유사 가중 그래프를 탐색하는데 94% 이상의 정확도를 보임을 확인하였다.
Revealing Hidden Relations between Query-Words for an Efficient Inducing User's Intention of an Information Search	효율적 검색의도 파악을 위한 쿼리 단어 가시화에 관한 연구
Vision-Based Multi-Object Detection and Localization Using CNN	CNN을 이용한 영상 기반 다수 대상체 인식 및 위치 식별
However, the attempt to apply either word or morpheme level embedding results in higher complexity of the model due to the large size of the dictionary.	하지만 단어 혹은 형태소 단위로 임베딩 하는 방식은 사전의 크기를 증가시켜 모델의 복잡도를 높이는 문제점이 있다.
Especially, docker containers are capable of distributing application images faster and more efficient than before by applying layered image structures and union mount point to existing linux container.	특히 컨테이너는 기존의 리눅스 컨테이너에 유니온 마운트 포인트(Union Mount Point) 와 레이어 구조의 이미지를 적용함으로써 보다 빠르고 효율적인 애플리케이션의 배포가 가능하다.
Recently, a method for data analysis using deep learning is widely used to overcome the limitations of artificial neural networks.	최근 인공신경망의 한계를 극복하기 위해 제안된 딥러닝을 사용한 데이터 분석 방식이 각광받고 있다.
A self-organizing algorithm for multi-layer neural networks	다층 신경회로망을 위한 자기 구성 알고리즘
LSTM Language Model Based Korean Sentence Generation	LSTM 언어모델 기반 한국어 문장 생성
The applicability of the LSTM-RNN was investigated in comparison with the pressures estimated by the production well model of PipeSim.	이 결과를 PipeSim을 사용하여 생산관 모델링을 통해 도출한 정두압력과 비교하여 LSTM-RNN의 적용성을 분석하였다.
Dimensional Measurement of Cylindrical Objects Using Computer Vision	SESSION 16 . Computer Controlled System ( CCS ) ; 컴퓨터비젼을 이용한 원통형 물체의 3차원측정에 관한 연구
For about 3 weeks, the active power of the central power measuring device and five kinds of home appliances(refrigerator, induction, TV, washing machine, air cleaner) was individually measured.	약 3주간 중앙 전력 측정 장치 및 5종 가전기기(냉장고, 인덕션, TV, 세탁기, 공기청정기)의 유효전력을 개별 측정하였다.
Using object tracking technique, many research are conducted such a detecting dangerous situation and recognizing the movement of nearby objects in a smart car.	객체 추적 기법을 이용해 위험한 상황을 감지하고 스마트 카에서 주변 물체의 움직임을 인식하는 등 많은 연구가 이뤄진다.
Dataset Construction and Deep Learning Models for Cross-Modal Retrieval for Text-Color Image in SNS	SNS에서 텍스트-칼라영상의 교차양식 검색을 위한 데이터셋 구축과 딥러닝 모델
On average, the 4-LSTM layer model took 69% longer training time than the 3-LSTM layer model.	Layer 4개인 모형이 3개인 모형에 비해 학습시간이 평균적으로 69% 정도 길게 소요되었다.
Research on Reactor Neutrino Event Selection by Using the Machine Learning Technique	기계학습을 이용한 원자로 중성미자 선별 연구
The Political Economy of Global Standards: A Theoretical Understanding of U.S-Japan Competition in the Computer Industry	세계표준의 정치경제: 미·일 컴퓨터 산업경쟁의 이론적 이해
The modified form of generative adversarial model was more accurate in all experiments than the autoencoder in terms of precision and was approximately 7% higher in accuracy.	변형된 형태의 적대적 생성 모델은 오토인코더의 비해 모든 실험의 경우에서 정밀도가 우세하였고 정확도 측면에서는 대략 7% 정도 높음을 확인할 수 있었다.
Forecast of Bee Swarming using Data Fusion and LSTM	데이터 퓨전 및 LSTM를 사용한 양봉 분봉 예측
The maritime and port logistics industry is closely related to global trade and economic activity, especially for Korea, which is highly dependent on trade.	해운항만물류산업은 특히 무역의존도가 높은 우리나라의 경우 세계 경제활동과 밀접한 관계를 가지고 있다.
Food Exchange Table Organization Model Based on Decision Tree Using Machine Learning	머신러닝을 이용한 의사결정트리 기반의 식품교환표 구성 모델
We compared the emotes usage in the hate speech and the race of the streamer.	혐오 표현에서 사용되는 이모트와 방송을 진행하고 있는 스트리머 인종 간의 비교를 진행한다.
In recent years, image classification using CNN algorithm has been used in many fields because of its improved accuracy and it is not easy to read disease using ultrasound image unless it is a skilled expert in medical image field.	최근 들어 정확도가 많이 향상되어 CNN 알고리즘을 이용한 이미지 분류가 많은 분야에 이용되고 있고 의료 영상 분야에서 숙련된 전공의가 아닌 경우 초음파 영상을 이용한 질병 판독은 쉽지 않다.
A Study on the Control of Recognition Performance and the Rehabilitation of Damaged Neurons in Multi-layer Perceptron	다층 퍼셉트론으 인식력 제어와  복원에 관한 연구
These two techniques can represent complex semantic structures in given contexts like text passages.	이 두 기법은 텍스트 문단과 같은 문맥 정보가 주어졌을 때, 이 문맥이 내포하고 있는 복잡한 의미 구조를 표현할 수 있다.
In real-time monitoring, image analysis is performed using CNN algorithm, not human, to prevent human rights violation.	실시간 모니터링에서는 인권 침해를 방지하기 위해 사람이 아닌 CNN 알고리즘을 사용하여 이미지 분석을 수행한다.
Therefore, it is expected that the proposed model can be effectively applied to crop classification owing to its ability to consider spatio-temporal features of crops.	따라서 이 연구에서 제안된 모델은 작물의 시공간 특징을 고려할 수 있기 때문에 작물 분류에 효과적으로 적용될 수 있을 것으로 기대된다.
Prediction Models for Atrial Fibrillation for the Elderly using Machine Learning	노인을 위한 기계학습 기반 심방세동 예측 모델
In particular, deep learning is most frequently used for arrhythmia classification using error backpropagation algorithm by solving the limit of hidden layer number, which is a problem of neural network.	특히 딥러닝은 신경회로망의 문제인 은닉층 개수의 한계를 해결함으로 인해 인공 지능 기반의 부정맥 분류에 많이 사용되고 있다.
Quantitative Analysis on the Characteristics of Tobacco leave Gradings Using Color Computer Vision and NIR	신기술 및 정보처리분야 : 컬러 컴퓨터시각 및 NIR 을 이용한 잎담배 등급 특징의 정량적 분석
Developments of Single Camera Stereo-Vision System and 3D-PTV Measurements of the Flows in a Water Droplet	단일카메라 스테레오비전 시스템개발과 액적내부유동 3차원 PTV 측정
A Study on EEG Correlates underlying Creative Thinking Process of Computer Teachers	정보 과학 기술 : 컴퓨터 교사의 창의적 사고 과정 시 뇌파 변화에 관한 연구
Efficient Image Matching using a Relaxation Algorithm	Relaxation 알고리즘을 이용한 효율적인 영상 정합
This field of study is also critical as mental diseases such as depression, autism, attention deficit hyperactivity disorder, and game addiction are associated with emotion.	우울증, 자폐증, 주의력 결핍 과잉 행동 장애 및 게임 중독과 같은 정신 질환이 감정과 관련되어 있기 때문에 이러한 분야의 연구가 중요하다.
Prediction of Power Consumptions Based on Gated Recurrent Unit for Internet of Energy	에너지 인터넷을 위한 GRU기반 전력사용량 예측
Comparing the Six Television News Formats over the World : Routinization and Evolving Changes	텔레비전 뉴스 포맷의 국가간 비교 연구
Then, keypoints included in the extracted skeleton data are entered into DNN, CNN, and LSTM to classify the motion.	이때, 추출되는 skeleton 데이터에 포함되는 keypoints를 DNN, CNN, LSTM에 입력하여 모션을 분류하게 된다.
Study on Artificial Intelligent Algorithms based on Biology and Implementation of Machine Learning for Mathematical Equations	생물학 원리에 기반한 인공지능 알고리즘의 고찰과 수학식에 대한 기계학습의 구현
Real-Time Object Recognition Using Local Features	지역 특징을 사용한 실시간 객체인식
Parting Lyrics Emotion Classification using Word2Vec and LSTM	Word2Vec과 LSTM을 활용한 이별 가사 감정 분류
Mechanical Status Monitoring Based on Sound Event Detection	사운드 이벤트 감지를 통한 기계 상태 모니터링
Solar Energy Prediction using Environmental Data via Recurrent Neural Network	RNN을 이용한 태양광 에너지 생산 예측
The COVID-19 from 2019 to 2020 is a global crisis what would change the modern history of human beings in terms of global public health and human civilization.	2019년부터 2020년까지의 코로나19는 세계 공중 보건과 인간 문명 측면에서 인간의 현대사를 변화시킬 수 있는 세계적인 위기이다.
Two-Stage Neural Networks for Sign Language Pattern Recognition	수화 패턴 인식을 위한 2단계 신경망 모델
Learning Tagging Ontology from Large Tagging Data	대규모 태깅 데이터를 이용한 태깅 온톨로지 학습
In addition, learners utilized machine translation for learning written language in many cases and mainly used it in the same way as referring to a dictionary.	또한 학습자들은 기계번역을 문어 학습에 많이 활용하고 있었으며 주로 사전 용도로 사용하고 있는 것으로 나타났다.
2 classes of the 2nd grade of S middle school in Hwasung, Gyeonggido, were divided into an experimental group and a control group in order to verify null hypotheses.	경기도 소재의 S중학교 2학년 2개 학급을 대상으로 사전 검사를 통해 동질성을 검증한 후 실험 집단과 통제 집단으로 구분하였다.
A Study on the Analysis and Synthesis of Facial Image	얼굴영상의 분석과 합성에 관한 연구
Comparison of physics-based and data-driven models for streamflow simulation of the Mekong river	메콩강 유출모의를 위한 물리적 및 데이터 기반 모형의 비교&#183;분석
The Study on CNN based Helicopter Type Classification Model	합성곱 신경망 기반의 헬기 기종 분류 모형 연구
The curriculum is composed of nine themes which are selected from famous classic fairy tales for girls and we developed robot smart learning system which allows girls to enjoy robot design&control, collaborative learning, and sharing their ideas by using smart-phone.	교육과정은 여학생들에게 친근한 명작동화를 9개의 학습주제로 구성하였고 스마트폰을 활용하여 로봇설계, 제작, 학습토론, 공유할 수 있는 스마트 로봇교육지원시 스템을 개발하였다.
Parameter Extraction for Based on AR and Arrhythmia Classification through Deep Learning	학습 파라미터의 적응조정에 의한 후향전파 알고리즘의 수렴속도 개선
Analysis and Prediction of Thermal Energy Demand in Buildings using Machine Learning: Deriving Major Variables for the Development of the Real-time Prediction Model	머신러닝을 활용한 건물의 열에너지 수요분석 및 예측기술 개발
Prediction System of Facebook’s popular post using Opinion Mining and Machine Learning	오피니언 마이닝과 머신러닝을 이용한 페이스북 인기 게시물 예측 시스템
Damage Detection and Classification System for Sewer Inspection using Convolutional Neural Networks based on Deep Learning	CNN을 이용한 딥러닝 기반 하수관 손상 탐지 분류 시스템
In this study, we propose pitch classification using bidirectional LSTM.	본 연구에서는 양방향 LSTM을 사용하는 피치 분류 방법을 제안하였다.
In this paper, we have investigated the generation of natural language sentences by using Knowledge Base Triples data with a structured structure.	본 논문은 정형화된 구조를 지니는 지식 베이스 트리플(Knowledge Base Triples) 데이터를 활용하여 자연어 형태의 문장 생성 연구를 진행하였다.
Deep Learning LSTM for Long-Short Term Traffic Flow Prediction	장단기 교통흐름 예측을 위한 딥러닝 LSTM 신경망
For improving performance, recent studies have suggested methods that the word dictionary is modified according to the positive and negative score of pre-defined words.	성능 향상을 위해, 최근의 연구는 단어 사전이 사전에 정의된 단어의 긍정 및 부정 점수에 따라 수정하는 방법 제안했다.
The Image Database Management System of Teaching File Using Personal Computer	개인용 컴퓨터를 이용한 교육용 화상자료체계의 구축
Binocular image preprocessing system for neural pattern recognition	신경망 시각인식을 위한 양안영상 전처리 시스템 구현
Korean QAbot using CNN and LSTM Networks	CNN과 LSTM 네트워크를 활용한 한국어 QA봇
A Real Time Interpreter of Sign Language using CNN and OpenPose Library	CNN과 OpenPose 라이브러리를 활용한 실시간 수화 통역기
Development of Information Extraction System from Multi Source Unstructured Documents for Knowledge Base Expansion	지식베이스 확장을 위한멀티소스 비정형 문서에서의 정보 추출 시스템의 개발
In this paper, we propose a technique to segment the nuclei region using deep neural network for medical images.	본 논문에서는 의료영상에 심층 신경망을 활용하여 세포핵 영역을 분할하는 기법을 제안한다.
BCI refers to a system that enables people with disabilities to communicate with their surroundings.	BCI는 몸이 불편한 사람이 주변 환경과 소통할 수 있는 시스템을 말한다.
Machine Learning Based Intrusion Detection Systems for Class Imbalanced Datasets	클래스 불균형 데이터에 적합한 기계 학습 기반 침입 탐지 시스템
The Research Work of Development of Imaging Media and Expansion of The Animation Expression- Focusing on The Expansion of Space for Frozen	영상미디어 기술의 발달과 애니메이션 표현력의 확장에 대한 연구
Supervised learning based on grasping measure to estimate grasping points of 2-D object	2-D 물체의 파지점 도출을 위한 파지 지수 기반 지도 학습
Experimental results show that the proposed system has better and more stable performance than the rule-based fault diagnosis algorithm.	실험 결과, 제안한 시스템은 Rule 기반 고장 진단 알고리즘 보다 향상되고 안정된 성능을 보였다.
Computer Vision based Facility Inspection Technology	영상기반 시설물 점검 기술
Smoke Detection Algorithm Using Deep Learning	딥 러닝을 이용한 화재 감지 알고리즘
Development of a Robot System Playing Baduk	바둑 대국용 로보트 시스템의 개발
Spectogram analysis of active power of appliances and LSTM-based Energy Disaggregation	다수 가전기기 유효전력의 스팩토그램 분석 및 LSTM기반의 전력 분해 알고리즘
The forecasting model with the characteristics of the dataset needs to be optimized to increase the accuracy of the forecasting model.	높은 정확도를 갖는 예측 모델을 구현하기 위해서는 데이터셋의 성격을 고려하여 예측 모델을 최적화하는 것이 필요하다.
Tor Network Website Fingerprinting Using Statistical-Based Feature and Ensemble Learning of Traffic Data	트래픽 데이터의 통계적 기반 특징과 앙상블 학습을 이용한 토르 네트워크 웹사이트 핑거프린팅
Soft Ground Settlement Estimation Using Neural Network	풍화토의 강도정수 산정에 관한 연구
Categorization of Korean News Articles Based on Convolutional Neural Network Using Doc2Vec and Word2Vec	Doc2Vec과 Word2Vec을 활용한 Convolutional Neural Network 기반 한국어 신문 기사 분류
In this paper, we propose a framework for web page prediction that includes methods for web log preprocessing followed by deep learning techniques for web prediction.	본 논문에서는 웹 페이지 예측을 위한 효율적인 웹 로그 전처리 작업과 분석을 위해 딥 러닝 기법을 사용하는 웹 페이지 예측 프레임워크를 제안한다.
A Web-based Distance Learning System using Intelligent Multiagents	지능형 멀티에이전트를 이용한 웹 기반 원격 교육 시스템
In order to solve this problem, compound noun decomposition problem is defined as tag sequence labeling problem and compound noun decomposition method to use syllable unit embedding and deep learning technique is proposed.	이 문제를 해결하기 위하여 복합명사 분해 문제를 태그 열 부착(sequence labeling) 문제로 정의하고 음절 단위 임베딩과 딥러닝 기법을 이용하는 복합명사 분해 방법을 제안한다.
Error Analysis According to the Typological Characteristics of Source Text in Korean-English Machine Translation	한영 기계 번역에서 ST의 유형적 특징에 따른 번역 오류 분석
Recent R&D Trends for 3D Deep Learning	3D 딥러닝 기술 동향
Performance Comparison of RNN Methods for Air-writing Recognition	Air-writing 인식을 위한 RNN 기법들의 성능 비교
Short Term Forecast Model for Solar  Power Generation using RNN-LSTM	RNN-LSTM을 이용한 태양광 발전량 단기 예측 모델
Image Matching using Dynamic Straight Line Hough Transform on Hierarchical Structure	계층 구조에서 동적 직선 Hough 변환을 이용한 영상 정합
New Functional-Link Network Having a Minimal Number of Supplementary Neurons	최소의 결합 뉴런을 가지는 새로운 함수적 링크 네트워크
Third, directionality for form, size, acquisition, processing, utilization, and verification of VQA data set to construct skin AI learning DB was suggested.	셋째, 스킨 인공지능학습 DB 구축을 위한 VQA 데이터셋의 형태, 규모, 획득, 가공, 활용, 검증 등을 방향성을 제안하였다.
Possibility of Spoken English Learning through Reading English Story Book–Focused on a Task of Using an Artificial Intelligence Translation	영어 스토리 북 읽기를 통한 구어영어 학습 가능성 - 인공지능번역기 활용 과업을 중심으로 - 이 논문은 2018년 김천대학교 교내학술연구비지원에 의한 것임(gc18068)
Recommendation system using Deep Autoencoder for Tensor data	텐서 데이터를 위한 딥 오토인코더 이용 추천 시스템
Comparison of Image Classification Performance by Activation Functions in Convolutional Neural Networks	컨벌루션 신경망에서 활성 함수가 미치는 영상 분류 성능 비교
Man-Machine System Safety : Variation of Psychophysiological Characteristics Related with Human Errors during a Simple Pointing Task	인간/시스템안전분야 : 단순 지적과업 중 인간과오 관련 심리생리학적 특성의 변화
A Comparative Study of Different Color Space for Paddy Disease Segmentation	벼 병충해분할을 위한 색채공간의 비교연구
A Study on the Development of ICT Convergence and the Practical Application Plan for Space Management in University Campus	대학 캠퍼스 공간관리를 위한 ICT 융합 기술 구축과 활용방안에 관한 연구
To learn the implicit concept, we mechanically generate a cycle composed of opposite operators from a domain theory and extract opposite literals through experimenting the operators.	이러한 잠재된 개념을 학습하기 위해 본 논문은 반대 연산자들로 구성된 사이클을 영역이론으로부터 기계적으로 생성하고, 이 연산자들에 대한 실험을 통해 반대 리터럴(literal)들을 추출한다.
Crack Detection on the Road in Aerial Image using Mask R-CNN	Mask R-CNN을 이용한 항공 영상에서의 도로 균열 검출
Learning method of a Neural Network using Genetic Algorithm for 3 Bit Parity Discrimination	패리티 판별을 위한 유전자 알고리즘을 사용한 신경회로망의 학습법
Stereo Matching Algorithm Based on Line Constraint and Reliability Space	신뢰도 공간과 선형 제어를 통한 스테레오 정합 기법
A Study on Smart Korean Cattle Livestock Management Platform based on IoT and Machine Learning	IoT 및 머신러닝 기반 스마트 한우 축사관리 플랫폼에 관한 연구
Object Detection based on Mask R-CNN from Infrared Camera	적외선 카메라 영상에서의 마스크 R-CNN기반 발열객체검출
We are interested in how artificial intelligence and artificial intelligence technologies can be used in education and we have an interest in how artificial intelligence can be applied to mathematics education.	이러한 방식이 교육에 어떻게 활용될 수 있을 지와 인공지능을 어떻게 수학교육에 적용할 수 있을지에 대한 관심이 대두되고 있다.
This study aims to classify the polarity analysis of sentiment analysis into positive and negative categories and increase the prediction accuracy of the polarity analysis using the pretrained IMDB review data set.	이 연구는 감성 분석의 극성 분석을 양수와 음수로 분류하고 사전 훈련된 IMDB 리뷰 데이터 세트를 사용하여 극성 분석의 예측 정확도를 높이는 것을 목표로 한다.
Speech Enhancement using RNN Phoneme based VAD	음소기반의 순환 신경망 음성 검출기를 이용한 음성 향상
Research Trend Analysis for Fault Detection Methods Using Machine Learning	머신러닝을 사용한 단층 탐지 기술 연구 동향 분석
Then the detailed failure point of unlabeled stage 3 was diagnosed using LSTM autoencoder.	그리고 레이블이 없는 Stage 3의 상세 고장시점을 LSTM 오토인코더로 진단할 수 있었다.
The Defect Inspection System Using Machine Vision the Engine Assembly Process	머신비전을 이용한 엔진조립공정의 이상검출 시스템
Classification Maritime Vessel Image utilizing a Region of Interest Extracted and Convolution Neural Network	해상 영상에서 관심영역 추출과 합성곱 신경망을 활용한 선 박 분류
Multi-resolution DenseNet based acoustic models for reverberant speech recognition	잔향 환경 음성인식을 위한 다중 해상도 DenseNet 기반 음향 모델
Prediction of Sea Surface Temperature and Detection of Ocean Heat Wave in the South Sea of Korea Using Time-series Deep-learning Approaches	시계열 기계학습을 이용한 한반도 남해 해수면 온도 예측 및 고수온 탐지
It is difficult to predict the exact value when measured effective power data are lost.	측정된 유효전력 데이터가 손실된 경우 정확한 값을 예측하기 어렵다.
Development of emotion classification model using Text-CNN and study on interworking of chatbot learning data	Text-CNN을 활용한 다중 감정 분류 모델 개발 및 챗봇 학습 데이터 연동 방안 연구
One is that each processor for the architecture needs only 5-communication links, the other is that the architecture is scalable. 	제시된 병렬 구조는 각 프로세서가 5개의 적은 통신선만을 가지며 확장성이 좋다는 장점을 가진다.
A Study on the Image Analysis used by Color Distribution	색상분포에 대한 이미지 분석에 관한 연구
Identification of Bolt Coating Defects Using CNN and Grad-CAM	CNN 및 모델 시각화 기법을 사용한 코팅 볼트 불량 판별
An LSTM Neural Network Model for Forecasting Daily Peak Electric Load of EV Charging Stations	EV 충전소의 일별 최대전력부하 예측을 위한 LSTM 신경망 모델
Research on Intelligent Game Character through Performance Enhancements of Physics Engine in Computer Games	컴퓨터 게임을 위한 물리 엔진의 성능 향상 및 이를 적용한 지능적인 게임 캐릭터에 관한 연구
Feature-Based Light and Shadow Estimation for Video Compositing and Editing	동영상 합성 및 편집을 위한 특징점 기반조명 및 그림자 추정

In this paper, we propose a ‘sliding time step normalization’ method that can normalize non-stationary data and LSTM autoencoder to compress variables from all variables, and ‘moving transfer learning’, which divides periods and performs transfer learning.	본 논문에서는 비정상성 데이터를 정규화할 수 있는 슬라이딩 '타임스텝 정규화' 방법과 LSTM 형태의 오토인코더(AutoEncoder)를 사용하여 모든 변수로부터 압축된 변수로 미래 주가를 예측하는 방법, 기간을 나누어 전이 학습을 하는 '이동 전이 학습'을 제안한다.
The proposed method uses a recurrent neural network model to naturally express postpositions connected to foreign words.	제안하는 방법은 순환신경망 모델을 이용하여 외국어에 연결된 조사를 자연스럽게 표현하는 것이다.
However, most research to date has focused mainly on the topology of nodes, and there are few studies on graph embedding for weighted graphs, which has an arbitrary weight on the edges between the nodes.	그러나 대부분의 연구는 그래프의 노드 간 연결 구조에 집중하고 노드간 간선에 임의의 가중치를 갖는 가중 그래프에 대한 임베딩 기법에 대해서 많은 연구가 진행되지 않았다.
The purpose of this study is to investigate the direction of mathematics education as the change of education paradigm and the development of artificial intelligence according to the development of information and communication technology.	이 연구의 목적은 정보통신기술의 발달에 따른 수학교육의 변화를 고찰해 봄으로써 수학교육의 변화가 인공지능과 어떠한 연과성이 있는지를 살펴보는 것이다.
Artificial Intelligence Ethics Learning Combining Engineering Methods	공학적 방법을 결합한 인공지능윤리 학습
The experimental results show that the compressed models give not only the model size reduction of 1.3~11.2 times at a classification performance loss of less than 2% compared to the original model, but also the inference time reduction of 1.2~2.21 times, and the memory reduction of 1.2~3.8 times in the embedded board.	실험 결과는 압축된 모델이 원래 모델에 비해 2% 미만의 분류 성능 손실에서 1.3~11.2배의 모델 크기 감소뿐만 아니라 추론 시간 감소 1.2~2.21배, 임베디드 보드에서 1.2~3.8배의 메모리 감소 효과를 준다는 것을 보여준다.
The proposed method is able to localize indoor and outdoor between robots without external devices since it has high real-time performance and resolution to be robust against illumination.	제안된 방법은 높은 실시간 성능과 조명에 대한 해상도를 가지고 있기 때문에 외부 장치 없이 로봇 간에 실내와 실외를 국소화할 수 있다.
The Automatic Korean license plate recognition(AKLPR) is used in many fields.	자동 한국 번호판 인식(AKLPR)은 많은 분야에서 사용된다.
